StudentID,study_hours,attendance_percentage,participation_rate,total_score,grade,at_risk,risk_label,attendance_band,study_band,meets_70_rule,dataset
39,5.7,93.4,8.3,56.7,C,0,Not at risk,Above 85%,Under 10h,Eligible,B (secondary)
40,16.4,76.5,2.6,84.0,B,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
41,20.2,85.6,5.6,100.0,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
42,16.2,84.2,7.0,100.0,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
43,14.2,76.5,6.1,63.6,C,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
44,12.9,78.7,3.7,100.0,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
45,4.7,100.0,3.3,55.9,C,0,Not at risk,Above 85%,Under 10h,Eligible,B (secondary)
46,10.0,83.4,7.3,89.6,A,0,Not at risk,70-85%,Under 10h,Eligible,B (secondary)
47,11.8,89.5,3.3,78.7,B,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
48,22.4,85.9,5.8,90.3,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
49,17.4,79.9,7.6,71.0,B,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
50,2.7,77.5,6.4,51.1,D,1,At risk,70-85%,Under 10h,Eligible,B (secondary)
51,17.3,93.8,8.8,82.7,B,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
52,12.3,84.6,6.8,91.0,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
53,10.3,90.3,6.0,92.7,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
54,19.3,77.7,8.2,100.0,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
55,22.2,80.2,4.1,100.0,A,0,Not at risk,70-85%,20-30h,Eligible,B (secondary)
56,21.5,84.1,7.7,100.0,A,0,Not at risk,70-85%,20-30h,Eligible,B (secondary)
57,9.1,81.4,5.4,76.9,B,0,Not at risk,70-85%,Under 10h,Eligible,B (secondary)
58,12.8,83.7,4.9,91.9,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
59,17.3,99.0,6.9,89.5,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
60,21.8,94.7,6.0,100.0,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
61,11.6,80.9,2.7,71.2,B,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
62,13.7,89.6,5.5,81.9,B,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
63,7.3,68.3,6.9,67.1,C,0,Not at risk,50-70%,Under 10h,Not eligible,B (secondary)
64,6.6,85.3,3.4,69.9,C,0,Not at risk,Above 85%,Under 10h,Eligible,B (secondary)
65,20.7,85.8,6.8,96.5,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
66,24.5,82.0,8.4,100.0,A,0,Not at risk,70-85%,20-30h,Eligible,B (secondary)
67,14.5,73.7,7.1,80.4,B,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
68,22.0,85.0,9.7,92.2,A,0,Not at risk,70-85%,20-30h,Eligible,B (secondary)
69,17.5,83.1,8.8,83.6,B,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
70,10.5,91.8,3.8,78.8,B,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
71,17.5,82.9,5.2,93.2,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
72,25.8,82.6,7.0,100.0,A,0,Not at risk,70-85%,20-30h,Eligible,B (secondary)
73,14.7,70.6,3.8,84.5,B,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
74,26.0,88.5,9.0,100.0,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
75,0.0,86.4,6.8,47.4,D,1,At risk,Above 85%,Under 10h,Eligible,B (secondary)
76,20.8,81.6,4.4,97.5,A,0,Not at risk,70-85%,20-30h,Eligible,B (secondary)
77,15.6,90.1,7.7,90.8,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
78,12.9,80.4,6.0,87.7,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
79,15.6,100.0,6.1,91.7,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
80,1.1,81.4,4.3,54.6,D,1,At risk,70-85%,Under 10h,Eligible,B (secondary)
81,13.5,69.7,5.5,81.0,B,0,Not at risk,50-70%,10-20h,Not eligible,B (secondary)
82,17.5,64.4,6.4,79.5,B,0,Not at risk,50-70%,10-20h,Not eligible,B (secondary)
83,25.3,85.0,4.3,100.0,A,0,Not at risk,70-85%,20-30h,Eligible,B (secondary)
84,11.4,83.4,8.3,62.3,C,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
85,9.3,69.7,7.5,64.9,C,0,Not at risk,50-70%,Under 10h,Not eligible,B (secondary)
86,11.5,84.1,4.5,93.3,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
87,21.4,100.0,4.6,100.0,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
88,17.3,64.7,8.9,98.4,A,0,Not at risk,50-70%,10-20h,Not eligible,B (secondary)
89,11.3,80.9,4.2,69.2,C,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
90,18.6,80.6,4.4,93.9,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
91,15.7,74.6,3.3,100.0,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
92,21.8,92.7,7.9,100.0,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
93,10.1,78.4,4.9,79.7,B,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
94,12.7,95.9,6.3,86.6,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
95,12.3,70.9,8.5,72.0,B,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
96,4.8,79.9,4.2,73.6,B,0,Not at risk,70-85%,Under 10h,Eligible,B (secondary)
97,17.1,76.7,7.6,67.3,C,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
98,16.8,95.7,5.3,73.1,B,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
99,15.0,80.7,6.0,100.0,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
100,13.4,91.1,6.0,63.9,C,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
101,5.1,62.6,8.3,72.9,B,0,Not at risk,50-70%,Under 10h,Not eligible,B (secondary)
102,12.1,94.3,2.2,73.4,B,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
103,12.6,73.3,4.5,68.1,C,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
104,9.4,72.5,5.4,86.1,A,0,Not at risk,70-85%,Under 10h,Eligible,B (secondary)
105,13.9,91.9,9.5,83.0,B,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
106,17.8,74.7,4.6,77.7,B,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
107,28.2,97.9,6.3,100.0,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
108,16.2,100.0,5.0,93.6,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
109,16.8,81.5,4.9,100.0,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
110,14.5,82.3,3.9,100.0,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
111,1.6,97.0,5.3,43.5,D,1,At risk,Above 85%,Under 10h,Eligible,B (secondary)
112,14.8,75.1,5.5,93.8,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
113,15.4,96.3,5.7,78.9,B,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
114,32.2,84.4,4.9,100.0,A,0,Not at risk,70-85%,Over 30h,Eligible,B (secondary)
115,13.7,93.3,5.3,84.2,B,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
116,17.1,77.8,9.3,100.0,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
117,14.8,97.8,5.0,100.0,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
118,6.8,70.7,6.4,73.2,B,0,Not at risk,70-85%,Under 10h,Eligible,B (secondary)
119,23.0,99.6,7.8,100.0,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
120,20.3,96.1,7.7,95.4,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
121,20.5,79.3,8.2,92.1,A,0,Not at risk,70-85%,20-30h,Eligible,B (secondary)
122,8.6,88.4,6.7,76.7,B,0,Not at risk,Above 85%,Under 10h,Eligible,B (secondary)
123,24.8,80.0,6.6,100.0,A,0,Not at risk,70-85%,20-30h,Eligible,B (secondary)
124,5.2,87.7,6.9,74.1,B,0,Not at risk,Above 85%,Under 10h,Eligible,B (secondary)
125,19.1,79.9,3.6,74.2,B,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
126,30.3,75.7,1.1,100.0,A,0,Not at risk,70-85%,Over 30h,Eligible,B (secondary)
127,8.1,88.9,4.5,74.0,B,0,Not at risk,Above 85%,Under 10h,Eligible,B (secondary)
128,11.0,87.0,5.5,72.6,B,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
129,15.7,84.9,6.5,74.8,B,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
130,11.5,83.8,3.1,54.7,D,1,At risk,70-85%,10-20h,Eligible,B (secondary)
131,4.1,92.4,2.5,50.6,D,1,At risk,Above 85%,Under 10h,Eligible,B (secondary)
132,15.5,80.1,6.5,86.8,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
133,7.6,77.9,4.6,92.6,A,0,Not at risk,70-85%,Under 10h,Eligible,B (secondary)
134,18.3,97.3,7.5,97.3,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
135,8.6,80.4,6.1,70.6,B,0,Not at risk,70-85%,Under 10h,Eligible,B (secondary)
136,25.8,77.7,6.9,100.0,A,0,Not at risk,70-85%,20-30h,Eligible,B (secondary)
137,9.5,79.3,3.6,81.9,B,0,Not at risk,70-85%,Under 10h,Eligible,B (secondary)
138,12.7,78.3,10.0,78.7,B,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
139,20.7,100.0,6.1,100.0,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
140,6.4,84.1,4.8,54.8,D,1,At risk,70-85%,Under 10h,Eligible,B (secondary)
141,16.6,70.8,7.0,95.0,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
142,24.1,86.1,4.2,100.0,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
143,3.7,71.7,1.2,58.2,C,0,Not at risk,70-85%,Under 10h,Eligible,B (secondary)
144,16.3,100.0,5.7,87.9,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
145,16.8,100.0,7.8,86.2,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
146,20.5,94.3,9.7,86.1,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
147,6.3,89.3,5.6,58.9,C,0,Not at risk,Above 85%,Under 10h,Eligible,B (secondary)
148,5.8,69.8,9.7,62.3,C,0,Not at risk,50-70%,Under 10h,Not eligible,B (secondary)
149,18.7,92.8,10.0,100.0,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
150,17.1,82.5,5.8,83.5,B,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
151,16.8,74.8,6.2,90.2,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
152,17.4,70.0,8.4,94.4,A,0,Not at risk,50-70%,10-20h,Eligible,B (secondary)
153,10.2,88.5,7.7,85.4,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
154,16.6,81.2,4.8,100.0,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
155,17.1,76.4,3.3,100.0,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
156,10.0,90.3,5.5,92.4,A,0,Not at risk,Above 85%,Under 10h,Eligible,B (secondary)
157,28.1,100.0,5.5,100.0,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
158,18.3,97.0,6.1,79.6,B,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
159,6.7,89.3,4.4,54.8,D,1,At risk,Above 85%,Under 10h,Eligible,B (secondary)
160,19.6,78.5,10.0,93.2,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
161,8.2,93.6,6.8,72.0,B,0,Not at risk,Above 85%,Under 10h,Eligible,B (secondary)
162,20.5,96.7,5.5,95.8,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
163,23.1,93.9,2.1,100.0,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
164,9.3,97.0,4.9,75.8,B,0,Not at risk,Above 85%,Under 10h,Eligible,B (secondary)
165,21.7,74.0,4.6,97.4,A,0,Not at risk,70-85%,20-30h,Eligible,B (secondary)
166,17.9,78.1,6.8,100.0,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
167,20.8,77.4,3.9,100.0,A,0,Not at risk,70-85%,20-30h,Eligible,B (secondary)
168,28.3,87.7,3.9,100.0,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
169,13.3,83.4,7.8,72.2,B,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
170,9.7,80.5,9.9,72.9,B,0,Not at risk,70-85%,Under 10h,Eligible,B (secondary)
171,8.8,95.0,7.2,63.2,C,0,Not at risk,Above 85%,Under 10h,Eligible,B (secondary)
172,9.3,88.5,8.7,66.2,C,0,Not at risk,Above 85%,Under 10h,Eligible,B (secondary)
173,14.5,79.3,8.1,75.6,B,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
174,17.4,93.7,6.9,100.0,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
175,16.9,84.0,4.5,75.5,B,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
176,20.8,82.0,7.2,89.5,A,0,Not at risk,70-85%,20-30h,Eligible,B (secondary)
177,15.1,63.3,4.8,89.2,A,0,Not at risk,50-70%,10-20h,Not eligible,B (secondary)
178,25.2,88.0,6.0,100.0,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
179,13.1,79.1,4.8,92.9,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
180,34.0,100.0,0.6,100.0,A,0,Not at risk,Above 85%,Over 30h,Eligible,B (secondary)
181,19.4,94.8,7.4,100.0,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
182,9.0,97.2,4.7,84.7,B,0,Not at risk,Above 85%,Under 10h,Eligible,B (secondary)
183,7.5,85.6,8.2,80.1,B,0,Not at risk,Above 85%,Under 10h,Eligible,B (secondary)
184,18.4,100.0,9.4,100.0,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
185,13.4,100.0,6.4,75.9,B,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
186,20.0,84.5,3.8,100.0,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
187,18.3,89.6,6.7,96.5,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
188,14.5,81.9,1.8,97.2,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
189,9.1,85.6,5.6,58.2,C,0,Not at risk,Above 85%,Under 10h,Eligible,B (secondary)
190,4.4,86.9,6.1,52.2,D,1,At risk,Above 85%,Under 10h,Eligible,B (secondary)
191,11.9,92.4,9.6,70.1,B,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
192,21.0,79.3,6.2,100.0,A,0,Not at risk,70-85%,20-30h,Eligible,B (secondary)
193,16.5,100.0,6.9,89.0,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
194,6.3,75.7,4.1,44.1,D,1,At risk,70-85%,Under 10h,Eligible,B (secondary)
195,16.2,81.8,4.7,80.5,B,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
196,17.7,89.0,4.9,92.5,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
197,8.8,93.2,4.6,65.4,C,0,Not at risk,Above 85%,Under 10h,Eligible,B (secondary)
198,16.1,82.7,6.2,93.9,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
199,15.4,68.2,9.3,99.8,A,0,Not at risk,50-70%,10-20h,Not eligible,B (secondary)
200,7.0,78.7,5.2,53.2,D,1,At risk,70-85%,Under 10h,Eligible,B (secondary)
201,17.5,96.8,8.7,85.9,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
202,18.9,82.4,5.8,100.0,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
203,22.6,80.2,5.0,100.0,A,0,Not at risk,70-85%,20-30h,Eligible,B (secondary)
204,22.4,77.5,5.1,99.4,A,0,Not at risk,70-85%,20-30h,Eligible,B (secondary)
205,5.4,78.4,6.4,63.0,C,0,Not at risk,70-85%,Under 10h,Eligible,B (secondary)
206,8.4,87.1,8.2,70.2,B,0,Not at risk,Above 85%,Under 10h,Eligible,B (secondary)
207,18.6,98.2,1.0,90.5,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
208,18.6,93.9,2.5,83.7,B,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
209,18.6,89.0,2.7,98.1,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
210,40.0,68.1,6.7,100.0,A,0,Not at risk,50-70%,Over 30h,Not eligible,B (secondary)
211,19.0,88.0,7.3,95.5,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
212,22.9,79.5,5.2,100.0,A,0,Not at risk,70-85%,20-30h,Eligible,B (secondary)
213,21.7,98.3,7.1,100.0,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
214,19.6,82.6,8.7,90.2,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
215,12.8,89.1,2.9,87.9,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
216,20.3,81.4,7.1,100.0,A,0,Not at risk,70-85%,20-30h,Eligible,B (secondary)
217,9.6,82.6,6.0,83.0,B,0,Not at risk,70-85%,Under 10h,Eligible,B (secondary)
218,13.3,80.9,4.6,97.4,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
219,11.6,71.3,1.9,70.6,B,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
220,15.6,85.3,7.6,83.7,B,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
221,31.2,95.1,2.1,100.0,A,0,Not at risk,Above 85%,Over 30h,Eligible,B (secondary)
222,1.9,78.8,10.0,46.4,D,1,At risk,70-85%,Under 10h,Eligible,B (secondary)
223,19.8,83.0,4.6,100.0,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
224,3.7,100.0,5.0,63.1,C,0,Not at risk,Above 85%,Under 10h,Eligible,B (secondary)
225,11.7,90.1,9.4,87.4,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
226,22.6,73.5,4.8,100.0,A,0,Not at risk,70-85%,20-30h,Eligible,B (secondary)
227,15.4,97.2,8.9,65.7,C,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
228,7.5,76.3,6.5,54.2,D,1,At risk,70-85%,Under 10h,Eligible,B (secondary)
229,10.0,65.7,10.0,69.5,C,0,Not at risk,50-70%,Under 10h,Not eligible,B (secondary)
230,19.8,84.4,7.6,100.0,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
231,9.9,94.1,4.5,79.0,B,0,Not at risk,Above 85%,Under 10h,Eligible,B (secondary)
232,16.5,99.4,6.7,100.0,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
233,15.3,76.5,6.7,81.5,B,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
234,10.4,95.9,6.3,85.8,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
235,30.0,81.2,8.1,100.0,A,0,Not at risk,70-85%,20-30h,Eligible,B (secondary)
236,19.4,83.3,1.8,100.0,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
237,0.8,91.0,4.2,53.0,D,1,At risk,Above 85%,Under 10h,Eligible,B (secondary)
238,16.3,70.2,7.5,96.0,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
239,10.4,85.9,4.1,81.2,B,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
240,21.0,96.9,8.9,100.0,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
241,9.5,81.8,4.9,55.0,C,0,Not at risk,70-85%,Under 10h,Eligible,B (secondary)
242,14.2,87.3,7.1,81.5,B,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
243,18.5,86.9,4.7,72.7,B,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
244,21.1,88.6,8.5,100.0,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
245,6.6,96.5,6.5,55.6,C,0,Not at risk,Above 85%,Under 10h,Eligible,B (secondary)
246,12.7,77.4,10.0,91.1,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
247,11.7,89.4,3.1,80.0,B,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
248,10.4,79.9,1.6,71.4,B,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
249,27.4,97.6,6.7,100.0,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
250,17.8,78.1,8.5,89.5,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
251,6.2,83.9,3.5,74.7,B,0,Not at risk,70-85%,Under 10h,Eligible,B (secondary)
252,21.4,88.4,6.7,100.0,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
253,29.9,90.6,4.3,100.0,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
254,22.2,90.5,6.7,94.1,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
255,4.4,83.1,6.5,38.9,F,1,At risk,70-85%,Under 10h,Eligible,B (secondary)
256,11.6,81.8,6.0,69.5,C,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
257,23.9,68.3,7.0,100.0,A,0,Not at risk,50-70%,20-30h,Not eligible,B (secondary)
258,10.0,85.0,4.7,60.4,C,0,Not at risk,70-85%,Under 10h,Eligible,B (secondary)
259,18.1,74.1,3.5,98.1,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
260,20.4,85.1,2.2,100.0,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
261,8.5,78.2,7.0,77.7,B,0,Not at risk,70-85%,Under 10h,Eligible,B (secondary)
262,14.6,66.7,1.1,81.2,B,0,Not at risk,50-70%,10-20h,Not eligible,B (secondary)
263,0.0,100.0,6.6,57.8,C,0,Not at risk,Above 85%,Under 10h,Eligible,B (secondary)
264,7.8,76.7,5.5,63.8,C,0,Not at risk,70-85%,Under 10h,Eligible,B (secondary)
265,13.2,74.0,4.4,69.4,C,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
266,6.3,89.9,8.8,68.7,C,0,Not at risk,Above 85%,Under 10h,Eligible,B (secondary)
267,26.4,74.0,9.4,100.0,A,0,Not at risk,70-85%,20-30h,Eligible,B (secondary)
268,5.0,83.2,5.5,57.2,C,0,Not at risk,70-85%,Under 10h,Eligible,B (secondary)
269,11.9,75.7,3.4,69.3,C,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
270,15.9,79.9,1.7,83.5,B,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
271,25.1,83.8,5.4,100.0,A,0,Not at risk,70-85%,20-30h,Eligible,B (secondary)
272,4.9,91.8,6.2,69.7,C,0,Not at risk,Above 85%,Under 10h,Eligible,B (secondary)
273,23.1,96.6,8.9,100.0,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
