ID,prior_gpa,test_score,attendance_rate,assignment_rate,risk_level,at_risk,risk_label,attendance_band,gpa_band,meets_70_rule,dataset
21,3.65,22,97,86,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
22,2.22,20,82,62,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
23,2.21,18,93,74,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
24,3.72,20,92,96,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
25,3.3,24,87,64,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
26,2.46,26,83,70,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
27,3.23,23,67,79,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
28,3.73,19,60,62,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
29,2.21,22,97,93,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
30,2.32,28,92,90,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
31,2.03,20,71,51,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
32,3.43,28,73,52,High,1,At risk,70-85%,2.5-3.5,Eligible,A (primary)
33,3.73,25,73,79,High,1,At risk,70-85%,Above 3.5,Eligible,A (primary)
34,2.08,19,68,98,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
35,2.1,18,91,69,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
36,3.12,20,71,69,High,1,At risk,70-85%,2.5-3.5,Eligible,A (primary)
37,3.27,25,92,52,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
38,2.24,22,97,64,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
39,3.17,21,86,97,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
40,3.17,21,86,70,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
41,2.14,25,81,100,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
42,3.89,29,67,92,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
43,2.4,22,84,84,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
44,2.25,27,94,81,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
45,3.51,25,65,66,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
46,3.25,21,96,80,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
47,3.51,21,61,59,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
48,3.45,22,95,98,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
49,3.61,23,95,89,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
50,2.17,29,79,87,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
51,3.31,29,98,88,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
52,2.03,24,90,95,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
53,3.22,28,97,95,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
54,2.12,21,91,97,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
55,3.37,19,88,82,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
56,3.88,25,97,77,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
57,3.57,26,98,59,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
58,3.89,20,64,87,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
59,3.9,26,69,78,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
60,3.79,29,65,84,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
61,2.21,28,91,67,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
62,3.16,24,100,53,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
63,3.91,23,87,65,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
64,3.18,22,96,58,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
65,3.04,20,94,97,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
66,3.15,21,69,88,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
67,3.41,19,96,85,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
68,2.37,26,69,67,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
69,2.85,19,71,74,High,1,At risk,70-85%,2.5-3.5,Eligible,A (primary)
70,3.74,29,97,96,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
71,3.31,25,89,69,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
72,3.85,25,62,79,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
73,3.5,19,86,81,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
74,3.16,25,87,79,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
75,2.86,23,63,68,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
76,2.43,23,87,70,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
77,3.51,27,87,52,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
78,3.14,27,60,73,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
79,3.88,27,99,61,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
80,3.41,22,87,73,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
81,3.25,30,65,71,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
82,2.09,26,78,75,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
83,2.81,26,64,95,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
84,3.86,19,89,74,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
85,3.83,24,94,75,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
86,3.11,18,96,98,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
87,2.51,27,65,85,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
88,2.25,20,82,86,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
89,2.24,25,85,56,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
90,2.29,26,74,79,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
91,2.45,25,85,78,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
92,3.3,24,96,81,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
93,3.21,29,65,77,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
94,2.43,22,71,80,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
95,3.0,22,70,61,High,1,At risk,50-70%,2.5-3.5,Eligible,A (primary)
96,3.98,21,62,73,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
97,3.54,23,93,51,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
98,3.48,20,88,58,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
99,2.07,25,78,64,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
100,3.92,24,85,76,Low,0,Not at risk,70-85%,Above 3.5,Eligible,A (primary)
101,3.98,24,71,60,High,1,At risk,70-85%,Above 3.5,Eligible,A (primary)
102,3.87,19,85,60,Low,0,Not at risk,70-85%,Above 3.5,Eligible,A (primary)
103,3.4,23,73,51,High,1,At risk,70-85%,2.5-3.5,Eligible,A (primary)
104,2.06,20,81,74,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
105,3.2,24,94,99,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
106,2.03,26,62,50,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
107,3.67,23,87,91,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
108,2.42,21,65,92,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
109,3.97,30,92,82,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
110,2.25,20,70,79,High,1,At risk,50-70%,2.0-2.5,Eligible,A (primary)
111,3.11,21,86,72,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
112,2.9,29,65,59,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
113,3.5,28,96,79,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
114,2.35,25,80,83,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
115,2.47,20,96,71,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
116,2.48,27,68,78,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
117,3.21,23,94,55,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
118,3.41,19,73,56,High,1,At risk,70-85%,2.5-3.5,Eligible,A (primary)
119,3.33,30,92,88,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
120,2.1,23,72,71,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
121,2.09,23,71,65,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
122,3.0,20,63,98,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
123,3.38,22,90,79,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
124,3.75,23,61,87,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
125,3.13,23,68,98,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
126,2.03,25,91,63,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
127,3.62,21,93,50,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
128,3.53,26,65,62,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
129,2.45,19,63,96,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
130,2.35,23,89,96,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
131,3.15,23,96,64,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
132,2.43,21,75,89,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
133,2.92,29,61,95,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
134,3.03,29,93,76,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
135,2.18,24,72,52,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
136,2.41,22,65,92,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
137,3.42,27,87,53,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
138,3.28,23,100,55,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
139,3.53,20,88,95,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
140,3.21,28,97,70,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
141,3.11,28,88,75,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
142,3.55,23,69,91,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
143,2.33,21,86,53,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
144,2.54,19,64,55,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
145,3.86,30,65,97,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
146,3.14,29,86,67,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
147,3.31,19,90,95,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
148,3.02,20,95,65,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
149,3.3,30,63,57,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
150,3.0,28,85,95,Low,0,Not at risk,70-85%,2.5-3.5,Eligible,A (primary)
151,3.46,27,90,67,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
152,2.1,29,90,85,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
153,3.74,20,92,97,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
154,3.9,21,94,78,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
155,2.91,20,66,85,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
156,3.74,26,70,58,High,1,At risk,50-70%,Above 3.5,Eligible,A (primary)
157,3.54,20,86,80,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
158,3.26,19,64,71,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
159,2.41,27,80,53,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
160,3.09,20,98,65,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
161,3.16,21,86,99,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
162,2.36,22,79,70,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
163,3.97,18,99,71,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
164,3.65,27,60,92,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
165,2.23,25,70,95,High,1,At risk,50-70%,2.0-2.5,Eligible,A (primary)
166,3.74,20,92,52,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
167,2.83,23,69,71,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
168,2.49,26,69,85,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
169,3.68,18,69,76,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
170,3.12,22,65,73,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
171,2.26,19,64,70,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
172,2.32,28,64,87,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
173,3.02,18,95,94,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
174,3.53,21,90,86,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
175,2.43,19,88,70,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
176,3.73,30,93,62,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
177,3.88,23,97,90,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
178,2.01,24,69,67,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
179,3.57,24,97,70,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
180,3.98,20,65,55,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
181,2.06,26,85,87,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
182,2.38,25,92,57,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
183,2.86,24,62,56,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
184,2.45,21,98,78,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
185,3.14,24,100,54,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
186,3.4,23,86,66,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
187,3.53,24,96,80,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
188,3.98,30,92,85,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
189,3.78,21,67,94,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
190,3.12,26,97,53,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
191,3.99,20,70,77,High,1,At risk,50-70%,Above 3.5,Eligible,A (primary)
192,2.68,19,63,68,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
193,3.64,26,95,97,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
194,2.28,26,68,56,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
195,3.45,26,74,99,High,1,At risk,70-85%,2.5-3.5,Eligible,A (primary)
196,2.4,29,73,85,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
197,3.71,26,100,74,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
198,2.21,28,73,78,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
199,2.09,20,60,72,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
200,3.02,18,95,91,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
201,3.5,22,70,65,High,1,At risk,50-70%,2.5-3.5,Eligible,A (primary)
202,2.72,20,63,99,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
203,2.62,20,61,55,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
204,3.19,18,94,94,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
205,2.16,30,92,54,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
206,3.76,30,87,76,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
207,2.45,29,75,71,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
208,3.55,18,88,56,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
209,3.4,23,89,70,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
210,2.4,24,62,92,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
211,2.27,29,96,82,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
212,3.67,29,72,61,High,1,At risk,70-85%,Above 3.5,Eligible,A (primary)
213,3.61,21,86,88,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
214,3.13,27,96,53,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
215,2.31,27,68,60,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
216,2.06,27,68,84,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
217,2.45,29,84,83,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
218,3.4,19,88,83,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
219,2.72,20,69,85,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
220,2.37,24,89,66,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
221,2.93,26,72,76,High,1,At risk,70-85%,2.5-3.5,Eligible,A (primary)
222,3.28,24,86,65,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
223,2.41,24,79,84,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
224,3.25,22,88,65,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
225,2.21,27,82,74,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
226,3.09,30,90,80,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
227,3.0,22,93,56,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
228,2.12,23,66,78,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
229,3.56,30,97,90,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
230,3.32,24,88,63,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
231,3.66,27,98,95,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
232,2.14,22,68,95,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
233,3.54,19,100,85,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
234,3.56,18,66,56,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
235,3.56,25,97,80,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
236,2.3,30,81,61,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
237,3.49,24,87,89,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
238,2.7,19,64,56,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
239,3.88,22,87,64,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
240,2.83,19,65,76,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
241,2.19,28,88,77,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
242,3.94,24,70,66,High,1,At risk,50-70%,Above 3.5,Eligible,A (primary)
243,3.86,23,66,83,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
244,2.28,24,99,54,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
245,3.93,18,86,83,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
246,3.98,20,96,52,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
247,3.29,28,97,87,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
248,2.33,29,61,71,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
249,3.06,26,91,72,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
250,3.09,22,99,87,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
251,3.62,26,97,96,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
252,3.48,27,87,54,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
253,3.4,19,91,52,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
254,3.87,19,92,89,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
255,3.93,26,87,76,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
256,2.3,20,62,73,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
257,3.65,29,88,61,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
258,3.32,24,74,79,High,1,At risk,70-85%,2.5-3.5,Eligible,A (primary)
259,2.09,26,69,83,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
260,3.88,23,62,71,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
261,3.5,29,88,65,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
262,3.74,27,66,66,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
263,3.58,23,98,71,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
264,3.57,20,85,79,Low,0,Not at risk,70-85%,Above 3.5,Eligible,A (primary)
265,3.32,26,66,95,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
266,2.75,24,73,94,High,1,At risk,70-85%,2.5-3.5,Eligible,A (primary)
267,3.98,28,91,62,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
268,2.2,22,87,78,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
269,3.35,27,89,100,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
270,2.5,25,73,85,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
271,2.06,27,75,99,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
272,3.34,25,65,72,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
273,2.1,30,70,75,High,1,At risk,50-70%,2.0-2.5,Eligible,A (primary)
274,3.08,21,85,57,Low,0,Not at risk,70-85%,2.5-3.5,Eligible,A (primary)
275,2.22,27,62,90,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
276,2.14,20,79,54,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
277,2.26,22,75,65,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
278,3.52,28,72,100,High,1,At risk,70-85%,Above 3.5,Eligible,A (primary)
279,3.58,25,70,78,High,1,At risk,50-70%,Above 3.5,Eligible,A (primary)
280,3.24,23,96,53,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
281,3.68,23,73,91,High,1,At risk,70-85%,Above 3.5,Eligible,A (primary)
282,3.2,28,62,89,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
283,3.81,20,60,88,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
284,3.79,24,93,69,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
285,3.56,19,73,97,High,1,At risk,70-85%,Above 3.5,Eligible,A (primary)
286,3.04,23,87,99,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
287,2.23,20,96,97,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
288,3.27,19,61,100,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
289,3.06,30,90,82,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
290,2.15,20,64,76,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
291,3.19,23,94,55,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
292,3.42,25,92,64,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
293,3.75,20,61,56,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
294,3.75,24,90,57,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
295,3.56,25,94,57,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
296,3.97,19,68,89,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
297,3.21,22,68,92,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
298,3.79,27,93,94,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
299,2.02,28,85,74,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
300,3.55,19,98,83,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
301,3.09,18,89,96,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
302,3.52,22,93,86,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
